Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Spring 2026 Semester,202630,34129,PSYC,3406,Clinical Psychology and Mental Health,05,"Bachen, Elizabeth",MW,1150 - 1330,TBA,TBA,Traditional,4,22,25
Spring 2026 Semester,202630,34126,PSYC,3458,Biological Psychology,05,"Scott, Terri",MWR,1335 - 1440,TBA,TBA,Traditional,4,25,25
Spring 2026 Semester,202630,34792,PSYC,3464,Psychology of Language,03,"Scott, Terri",MWR,1035 - 1140,TBA,TBA,Traditional,4,17,25
Spring 2026 Semester,202630,35142,PPUA,6507,Institutional Leadership and the Public Manager,02,"Cornu Toney, Sharon",M,1730 - 2050,TBA,TBA,Traditional,4,4,25
Spring 2026 Semester,202630,35760,PPUA,7673,Capstone in Public Policy and Urban Affairs,05,"Parker, Adam",M,1715 - 2035,TBA,TBA,Traditional,4,8,25
Spring 2026 Semester,202630,33348,PHTH,2350,Community and Public Health,31,"Jaime, Maria Catrina",MR,0845 - 1025,OAK,Natural Science 212,Traditional,4,22,22
Spring 2026 Semester,202630,34533,PHTH,2350,Community and Public Health,32,"Jaime, Maria Catrina",MW,1150 - 1330,OAK,Natural Science 212,Traditional,4,21,22
Spring 2026 Semester,202630,40044,SOCL,1246,Environment and Society,03,"Brown, Timothy",MW,1150 - 1330,TBA,TBA,Traditional,4,9,19
Spring 2026 Semester,202630,34137,SCHM,2301,Supply Chain and Operations Management,13,"Xu, Xun",MW,1150 - 1330,TBA,TBA,Traditional,4,37,42
Winter 2026 CPS Quarter,202625,20998,ALY,6000,Introduction to Analytics,35,"Chen, Judy",W,1800 - 2040,TBA,TBA,Hybrid,3,1,30
Winter 2026 CPS Quarter,202625,20999,ALY,6010,Probability Theory and Introductory Statistics,35,"Tellner, Thomas",W,1800 - 2040,TBA,TBA,Hybrid,3,1,30
Winter 2026 CPS Quarter,202625,21006,ALY,6015,Intermediate Analytics,28,"Tellner, Thomas",M,1730 - 2010,TBA,TBA,Hybrid,3,2,30
Winter 2026 CPS Quarter,202625,21007,ALY,6050,Introduction to Enterprise Analytics,25,"Jones, Adam",M,1730 - 2010,TBA,TBA,Hybrid,3,2,30
Winter 2026 CPS Quarter,202625,21002,ALY,6070,Communication and Visualization for Data Analytics,27,"Wang, Zheng",R,1730 - 2010,TBA,TBA,Hybrid,3,2,30
Winter 2026 CPS Quarter,202625,21793,ALY,6130,Risk Management for Analytics,16,TBA,R,1750 - 2030,TBA,TBA,Hybrid,3,4,30
Winter 2026 CPS Quarter,202625,21765,ALY,6980,Capstone,29,TBA,F,1800 - 2040,TBA,TBA,Hybrid,3,5,30
Winter 2026 CPS Quarter,202625,21734,EXED,5945,Experiential Integration Seminar,17,TBA,M,1800 - 1900,TBA,TBA,Traditional,TBA,0,10
Winter 2026 CPS Quarter,202625,21691,EAI,6000,Fundamentals of Artificial Intelligence,12,"Jones, Adam",M,1730 - 2010,TBA,TBA,Hybrid,3,2,30
Winter 2026 CPS Quarter,202625,21692,EAI,6020,AI System Technologies,14,"Jones, Adam",T,1730 - 2010,TBA,TBA,Hybrid,3,3,30
