CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Credits,Enrollment Actual,Enrollment Maximum
34061,PHIL,1180,Environmental Ethics,02,"Colomina-Alminana, Juan",MWR,1335 - 1440,TBA,TBA,4,10,40
33596,PHIL,2303,Social and Political Philosophy,02,"Stubbs, Alec",MW,1150 - 1330,TBA,TBA,4,34,35
37565,PHIL,3343,Existentialism,01,"Stubbs, Alec",TR,1500 - 1640,TBA,TBA,4,24,30
32767,PHYS,1151,Physics for Engineering 1,30,"Alvis, Rosa",MW,1150 - 1330,TBA,TBA,3,50,50
32768,PHYS,1152,Lab for PHYS 1151,300,"Alvis, Rosa",F,0730 - 1020,TBA,TBA,1,24,25
34507,PHYS,1152,Lab for PHYS 1151,301,"Alvis, Rosa",W,1500 - 1750,TBA,TBA,1,25,25
32769,PHYS,1153,Interactive Learning Seminar for PHYS 1151,30,"Alvis, Rosa",M,0800 - 1020,TBA,TBA,1,50,50
32770,PHYS,1155,Physics for Engineering 2,30,"Alvis, Rosa",MWR,1335 - 1440,TBA,TBA,3,19,20
32771,PHYS,1156,Lab for PHYS 1155,30,"Alvis, Rosa",W,0730 - 1020,TBA,TBA,1,18,20
32772,PHYS,1157,Interactive Learning Seminar for PHYS 1155,30,"Alvis, Rosa",M,1500 - 1720,TBA,TBA,1,19,20
32796,POLS,1160,International Relations,30,TBA,TR,1650 - 1830,TBA,TBA,4,30,30
32797,POLS,2358,Current Issues in Cities and Suburbs,30,"Lahr, Darcelle",MWR,1035 - 1140,TBA,TBA,4,14,30
33320,PSYC,1101,Foundations of Psychology,31,"Bachen, Elizabeth",TF,1225 - 1405,TBA,TBA,4,6,25
34121,PSYC,1101,Foundations of Psychology,32,"Tang, Xiangyun",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,4,13,35
34125,PSYC,1101,Foundations of Psychology,34,"Scott, Terri",TR,1500 - 1640,TBA,TBA,4,16,35
34790,PSYC,3400,Personality,02,"Morier, Dean",TF,1225 - 1405,TBA,TBA,4,25,25
34122,PSYC,3404,Developmental Psychology,07,"Tang, Xiangyun",TR,1500 - 1640,TBA,TBA,4,25,25
34129,PSYC,3406,Clinical Psychology and Mental Health,05,"Bachen, Elizabeth",MW,1150 - 1330,TBA,TBA,4,22,25
34126,PSYC,3458,Biological Psychology,05,"Scott, Terri",MWR,1335 - 1440,TBA,TBA,4,25,25
34792,PSYC,3464,Psychology of Language,03,"Scott, Terri",MWR,1035 - 1140,TBA,TBA,4,14,25
35142,PPUA,6507,Institutional Leadership and the Public Manager,02,TBA,M,1730 - 2050,TBA,TBA,4,4,25
35760,PPUA,7673,Capstone in Public Policy and Urban Affairs,05,"Parker, Adam",M,1715 - 2035,TBA,TBA,4,8,25
33348,PHTH,2350,Community and Public Health,31,"Jaime, Maria Catrina",MR,0845 - 1025,TBA,TBA,4,22,22
34533,PHTH,2350,Community and Public Health,32,"Jaime, Maria Catrina",MW,1150 - 1330,TBA,TBA,4,22,22
40044,SOCL,1246,Environment and Society,03,"Brown, Timothy",MW,1150 - 1330,TBA,TBA,4,7,19
34137,SCHM,2301,Supply Chain and Operations Management,13,"Xu, Xun",MW,1150 - 1330,TBA,TBA,4,37,42
20998,ALY,6000,Introduction to Analytics,35,"Chen, Judy",W,1800 - 2040,TBA,TBA,3,1,30
20999,ALY,6010,Probability Theory and Introductory Statistics,35,"Tellner, Thomas",W,1800 - 2040,TBA,TBA,3,1,30
21006,ALY,6015,Intermediate Analytics,28,"Tellner, Thomas",M,1730 - 2010,TBA,TBA,3,2,30
21007,ALY,6050,Introduction to Enterprise Analytics,25,TBA,M,1730 - 2010,TBA,TBA,3,2,30
21002,ALY,6070,Communication and Visualization for Data Analytics,27,TBA,R,1730 - 2010,TBA,TBA,3,2,30
21783,ALY,6120,Leadership in Analytics,18,TBA,R,1730 - 2010,TBA,TBA,3,0,30
21793,ALY,6130,Risk Management for Analytics,16,TBA,R,1750 - 2030,TBA,TBA,3,0,30
21765,ALY,6980,Capstone,29,TBA,F,1800 - 2040,TBA,TBA,3,2,30
21734,EXED,5945,Experiential Integration Seminar,17,TBA,M,1800 - 1900,TBA,TBA,TBA,0,10
21691,EAI,6000,Fundamentals of Artificial Intelligence,12,"Jones, Adam",M,1730 - 2010,TBA,TBA,3,0,30
21692,EAI,6020,AI System Technologies,14,"Jones, Adam",T,1730 - 2010,TBA,TBA,3,2,30
